strategy,annual_return,sharpe,max_dd,calmar,sortino,win_rate,trades,stop_loss,cost,final_value
v6b_8f_pos_ic,25.11%,1.4044,18.17%,1.3816,1.6497,45.49%,5098,4,21647409.58,640221.69
v10_small_cap,22.59%,1.3588,17.52%,1.2898,1.6425,44.88%,4791,5,18107560.82,576185.88
v10b_small_mom,21.55%,1.2474,16.50%,1.3065,1.5572,43.81%,4637,7,17154696.08,551177.45
