date,code,action,shares,price,cost,pnl
2021-07-05 00:00:00,300413,BUY,200,59.55,3.58,
2021-07-05 00:00:00,002027,BUY,2400,6.69,4.82,
2021-07-05 00:00:00,601689,BUY,700,21.97,4.62,
2021-07-05 00:00:00,600276,BUY,200,61.7,3.71,
2021-07-05 00:00:00,300866,BUY,100,107.07,3.22,
2021-07-05 00:00:00,600031,BUY,600,24.01,4.33,
2021-07-05 00:00:00,000333,BUY,200,57.16,3.43,
2021-07-05 00:00:00,300251,BUY,1700,9.7,4.95,
2021-07-05 00:00:00,600570,BUY,300,46.42,4.18,
2021-07-05 00:00:00,603993,BUY,3200,5.07,4.87,
2021-07-07 00:00:00,603993,TAKE_PROFIT,1200,5.66,8.82,0.1164
2021-07-09 00:00:00,601689,TAKE_PROFIT,200,24.03,6.24,0.0938
2021-07-09 00:00:00,603993,TAKE_PROFIT,600,6.07,4.73,0.1972
2021-07-12 00:00:00,300413,SELL,200,56.38,14.64,-0.0532
2021-07-12 00:00:00,002027,SELL,2400,6.58,20.51,-0.0164
2021-07-12 00:00:00,601689,SELL,500,23.45,15.23,0.0674
2021-07-12 00:00:00,600276,SELL,200,61.87,16.07,0.0028
2021-07-12 00:00:00,300866,SELL,100,100.11,13.0,-0.065
2021-07-12 00:00:00,600031,SELL,600,23.6,18.39,-0.0171
2021-07-12 00:00:00,000333,SELL,200,59.26,15.39,0.0367
2021-07-12 00:00:00,600570,SELL,300,46.19,18.0,-0.005
2021-07-12 00:00:00,603993,SELL,1400,6.3,11.45,0.2426
2021-07-12 00:00:00,601669,BUY,5200,3.63,5.67,
2021-07-12 00:00:00,600926,BUY,1100,11.14,3.68,
2021-07-12 00:00:00,601398,BUY,3400,3.67,3.75,
2021-07-12 00:00:00,601390,BUY,4300,4.4,5.68,
2021-07-12 00:00:00,600522,BUY,1900,9.62,5.49,
2021-07-12 00:00:00,601838,BUY,1200,9.92,3.57,
2021-07-12 00:00:00,000776,BUY,1400,13.05,5.49,
2021-07-12 00:00:00,601618,BUY,6600,2.87,5.69,
2021-07-12 00:00:00,600958,BUY,2000,9.44,5.67,
2021-07-12 00:00:00,601088,BUY,1400,13.12,5.52,
2021-07-12 00:00:00,601939,BUY,2600,4.74,3.7,
2021-07-19 00:00:00,300251,SELL,1700,9.66,21.33,-0.0041
2021-07-19 00:00:00,601669,SELL,5200,3.66,24.72,0.0083
2021-07-19 00:00:00,600926,SELL,1100,11.55,16.5,0.0368
2021-07-19 00:00:00,601398,SELL,3400,3.64,16.07,-0.0082
2021-07-19 00:00:00,601390,SELL,4300,4.33,24.18,-0.0159
2021-07-19 00:00:00,600522,SELL,1900,9.57,23.61,-0.0052
2021-07-19 00:00:00,601838,SELL,1200,9.59,14.95,-0.0333
2021-07-19 00:00:00,000776,SELL,1400,13.1,23.82,0.0038
2021-07-19 00:00:00,601618,SELL,6600,2.85,24.43,-0.007
2021-07-19 00:00:00,600958,SELL,2000,9.96,25.87,0.0551
2021-07-19 00:00:00,601088,SELL,1400,13.55,24.64,0.0328
2021-07-19 00:00:00,601939,SELL,2600,4.73,15.97,-0.0021
2021-07-19 00:00:00,601766,BUY,3300,5.0,4.95,
2021-07-19 00:00:00,600050,BUY,4400,3.79,5.01,
2021-07-19 00:00:00,000895,BUY,700,21.8,4.58,
2021-07-19 00:00:00,688981,BUY,300,51.8,4.67,
2021-07-19 00:00:00,300866,BUY,200,83.99,5.04,
2021-07-19 00:00:00,600028,BUY,5500,3.04,5.02,
2021-07-19 00:00:00,300498,BUY,1400,12.06,5.07,
2021-07-19 00:00:00,601808,BUY,1300,12.56,4.9,
2021-07-19 00:00:00,300308,BUY,700,23.52,4.94,
2021-07-19 00:00:00,601021,BUY,200,56.8,3.41,
2021-07-19 00:00:00,002714,BUY,300,47.52,4.28,
2021-07-19 00:00:00,600048,BUY,1800,9.37,5.06,
2021-07-26 00:00:00,688981,TAKE_PROFIT,100,57.2,7.43,0.1042
2021-07-26 00:00:00,601766,SELL,3300,5.14,22.03,0.028
2021-07-26 00:00:00,600050,SELL,4400,3.63,20.74,-0.0422
2021-07-26 00:00:00,000895,SELL,700,20.7,18.82,-0.0505
2021-07-26 00:00:00,688981,SELL,200,57.2,14.86,0.1042
2021-07-26 00:00:00,300866,SELL,200,82.25,21.36,-0.0207
2021-07-26 00:00:00,600028,SELL,5500,3.02,21.57,-0.0066
2021-07-26 00:00:00,300498,SELL,1400,12.27,22.31,0.0174
2021-07-26 00:00:00,601808,SELL,1300,12.1,20.43,-0.0366
2021-07-26 00:00:00,300308,SELL,700,23.73,21.57,0.0089
2021-07-26 00:00:00,601021,SELL,200,49.49,12.85,-0.1287
2021-07-26 00:00:00,002714,SELL,300,42.32,16.49,-0.1094
2021-07-26 00:00:00,600048,SELL,1800,8.52,19.92,-0.0907
2021-07-26 00:00:00,600522,BUY,3100,6.73,6.27,
2021-07-26 00:00:00,601319,BUY,4400,4.71,6.22,
2021-07-26 00:00:00,000776,BUY,1500,14.1,6.35,
2021-07-26 00:00:00,300015,BUY,300,32.35,2.91,
2021-07-26 00:00:00,600015,BUY,4800,4.35,6.27,
2021-07-26 00:00:00,300122,BUY,100,98.78,2.97,
2021-07-26 00:00:00,600009,BUY,500,40.0,6.01,
2021-08-02 00:00:00,600522,SELL,3100,7.13,28.71,0.0594
2021-08-02 00:00:00,601319,SELL,4400,4.53,25.89,-0.0382
2021-08-02 00:00:00,000776,SELL,1500,14.98,29.18,0.0624
2021-08-02 00:00:00,300015,SELL,300,32.89,12.81,0.0167
2021-08-02 00:00:00,600015,SELL,4800,4.28,26.68,-0.0161
2021-08-02 00:00:00,300122,SELL,100,97.72,12.69,-0.0107
2021-08-02 00:00:00,600009,SELL,500,37.13,24.11,-0.0717
2021-08-02 00:00:00,600023,BUY,3300,2.97,2.94,
2021-08-02 00:00:00,601186,BUY,3300,6.33,6.27,
2021-08-02 00:00:00,003816,BUY,4200,2.32,2.93,
2021-08-02 00:00:00,601988,BUY,8900,2.36,6.31,
2021-08-02 00:00:00,600803,BUY,1400,15.06,6.33,
2021-08-02 00:00:00,600115,BUY,4700,4.42,6.24,
2021-08-02 00:00:00,601985,BUY,2100,4.51,2.84,
2021-08-02 00:00:00,600377,BUY,2900,7.2,6.27,
2021-08-02 00:00:00,600029,BUY,3900,5.29,6.2,
2021-08-02 00:00:00,600011,BUY,2600,3.73,2.91,
2021-08-02 00:00:00,600027,BUY,3500,2.74,2.88,
2021-08-02 00:00:00,000425,BUY,3800,5.55,6.33,
2021-08-09 00:00:00,601186,SELL,3300,6.41,27.47,0.0126
