factor,holding,IC_mean,IR,n,pass
a101_close_open,3,-0.015786,-0.0897,1470,fail
a101_close_open,5,-0.011113,-0.0634,1468,fail
a101_close_open,10,-0.007656,-0.0452,1463,fail
a12_signdvol_dc,3,0.020085,0.1734,1469,fail
a12_signdvol_dc,5,0.021511,0.1841,1467,fail
a12_signdvol_dc,10,0.023019,0.1953,1462,fail
a33_rank_neg,3,0.01746,0.0937,1470,fail
a33_rank_neg,5,0.015087,0.0808,1468,fail
a33_rank_neg,10,0.010893,0.0594,1463,fail
a41_hl_vwap,3,0.019301,0.1209,1470,fail
a41_hl_vwap,5,0.016239,0.1021,1468,fail
a41_hl_vwap,10,0.007622,0.0483,1463,fail
a42_rank_vwap,3,0.028022,0.1538,1470,fail
a42_rank_vwap,5,0.030828,0.1639,1468,fail
a42_rank_vwap,10,0.0415,0.218,1463,fail
a52_minlz_mk,3,0.014596,0.0832,1464,fail
a52_minlz_mk,5,0.014062,0.0807,1462,fail
a52_minlz_mk,10,0.013842,0.0775,1457,fail
