date,nav,cash,n_hold,ret
2021-01-04,200000.0,200000.0,0,
2021-01-05,199629.38520000002,11227.385200000019,5,-0.001853073999999899
2021-01-06,200882.38520000002,11227.385200000019,5,0.006276631061828297
2021-01-07,200618.38520000002,11227.385200000019,5,-0.0013142018387384269
2021-01-08,201220.38520000002,11227.385200000019,5,0.0030007219896615034
2021-01-11,199651.38520000002,11227.385200000019,5,-0.007797420715801362
2021-01-12,203090.1197,6059.1197000000175,5,0.017223694674370682
2021-01-13,200984.1197,6059.1197000000175,5,-0.010369780682147112
2021-01-14,201897.1197,6059.1197000000175,5,0.004542647455743287
2021-01-15,202947.1197,6059.1197000000175,5,0.005200668546238907
2021-01-18,203736.1197,6059.1197000000175,5,0.003887712233444418
2021-01-19,204119.9855,2530.9855000000243,5,0.001884132281331663
2021-01-20,203121.98550000004,2530.9855000000243,5,-0.004889281162524739
2021-01-21,201879.9855,2530.9855000000243,5,-0.0061145522821803855
2021-01-22,199530.9855,2530.9855000000243,5,-0.011635625959563023
2021-01-25,197349.9855,2530.9855000000243,5,-0.010930633127154032
2021-01-26,199327.9855,2530.9855000000243,5,0.010022802864609215
2021-01-27,198115.9855,2530.9855000000243,5,-0.006080430687942728
2021-01-28,196991.9855,2530.9855000000243,5,-0.005673444256218296
2021-01-29,194944.98550000004,2530.9855000000243,5,-0.010391285690147911
2021-02-01,195163.9855,2530.9855000000243,5,0.0011233938612900118
2021-02-02,196821.88070000004,2252.8807000000234,5,0.008494882884014565
2021-02-03,196463.88070000004,2252.8807000000234,5,-0.0018189034609706889
2021-02-04,195645.88070000004,2252.8807000000234,5,-0.004163615200338477
2021-02-05,197085.88070000004,2252.8807000000234,5,0.007360236744304638
2021-02-08,195839.88070000004,2252.8807000000234,5,-0.006322117016066886
2021-02-09,197540.35050000003,2364.3505000000223,5,0.008682959742019492
2021-02-10,197880.35050000003,2364.3505000000223,5,0.0017211673419603724
2021-02-18,202351.35050000003,2364.3505000000223,5,0.022594461697196255
2021-02-19,207045.35050000003,2364.3505000000223,5,0.023197275374744697
2021-02-22,216157.35050000003,2364.3505000000223,5,0.04400968183055132
2021-02-23,215056.13070000004,5473.130700000031,5,-0.005094528580465663
2021-02-24,215431.13070000004,5473.130700000031,5,0.001743730805438437
2021-02-25,216859.13070000004,5473.130700000031,5,0.006628568468076024
2021-02-26,216952.13070000004,5473.130700000031,5,0.00042884982384561177
2021-03-01,216706.13070000004,5473.130700000031,5,-0.0011338906845775876
2021-03-02,216253.61410000006,10965.614100000057,5,-0.002088157813248115
2021-03-03,219797.61410000006,10965.614100000057,5,0.016388165417486
2021-03-04,217526.61410000006,10965.614100000057,5,-0.010332232264208208
2021-03-05,219675.61410000006,10965.614100000057,5,0.009879250908636283
2021-03-08,218935.61410000006,10965.614100000057,5,-0.003368603306433182
2021-03-09,215581.48890000005,12279.488900000062,5,-0.015320144298076599
2021-03-10,215119.48890000005,12279.488900000062,5,-0.002143041141228541
2021-03-11,216864.48890000005,12279.488900000062,5,0.008111770853133526
2021-03-12,217860.48890000005,12279.488900000062,5,0.0045927297966208425
2021-03-15,219275.48890000005,12279.488900000062,5,0.0064949822115265565
2021-03-16,221008.98690000008,6827.986900000062,5,0.007905571245998111
2021-03-17,222016.98690000008,6827.986900000062,5,0.004560900505172993
2021-03-18,222481.98690000008,6827.986900000062,5,0.0020944343335740356
2021-03-19,223350.98690000008,6827.986900000062,5,0.0039059341931830804
2021-03-22,225327.98690000005,6827.986900000062,5,0.008851539128793329
2021-03-23,225083.84700000007,5473.847000000067,5,-0.0010834868023221755
2021-03-24,224090.84700000007,5473.847000000067,5,-0.004411689302609045
2021-03-25,223272.84700000007,5473.847000000067,5,-0.0036503052710582518
2021-03-26,224038.84700000007,5473.847000000067,5,0.003430779919243898
2021-03-29,228637.84700000007,5473.847000000067,5,0.02052769000368948
2021-03-30,227046.99010000008,8386.990100000083,5,-0.006957977084170119
2021-03-31,227663.99010000008,8386.990100000083,5,0.0027174991385185976
2021-04-01,228303.99010000008,8386.990100000083,5,0.002811160428660253
2021-04-02,228394.99010000008,8386.990100000083,5,0.00039859136916597926
2021-04-06,228508.99010000008,8386.990100000083,5,0.0004991352916721148
