code,name,board,industry
688336,三生国健,上海证券交易所,医药生物
688126,沪硅产业,上海证券交易所,电子
601658,邮储银行,上海证券交易所,银行
600741,华域汽车,上海证券交易所,汽车
688692,达梦数据,上海证券交易所,计算机
300058,蓝色光标,深圳证券交易所,传媒
601016,节能风电,上海证券交易所,公用事业
601689,拓普集团,上海证券交易所,汽车
1309,德明利,深圳证券交易所,电子
600398,海澜之家,上海证券交易所,
300432,富临精工,深圳证券交易所,电力设备
2436,兴森科技,深圳证券交易所,电子
601865,福莱特,上海证券交易所,电力设备
300002,神州泰岳,深圳证券交易所,传媒
2202,金风科技,深圳证券交易所,电力设备
301606,绿联科技,深圳证券交易所,电子
728,国元证券,深圳证券交易所,非银金融
603341,龙旗科技,上海证券交易所,电子
600028,中国石化,上海证券交易所,石油石化
603596,伯特利,上海证券交易所,汽车
539,粤电力A,深圳证券交易所,公用事业
1203,大中矿业,深圳证券交易所,钢铁
601600,中国铝业,上海证券交易所,有色金属
425,徐工机械,深圳证券交易所,机械设备
601899,紫金矿业,上海证券交易所,有色金属
937,冀中能源,深圳证券交易所,煤炭
783,长江证券,深圳证券交易所,非银金融
2402,和而泰,深圳证券交易所,家用电器
2236,大华股份,深圳证券交易所,计算机
601018,宁波港,上海证券交易所,交通运输
600111,北方稀土,上海证券交易所,有色金属
300394,天孚通信,深圳证券交易所,通信
600157,永泰能源,上海证券交易所,公用事业
301498,乖宝宠物,深圳证券交易所,农林牧渔
300476,胜宏科技,深圳证券交易所,电子
600845,宝信软件,上海证券交易所,计算机
688599,天合光能,上海证券交易所,电力设备
600415,小商品城,上海证券交易所,商贸零售
2281,光迅科技,深圳证券交易所,通信
601179,中国西电,上海证券交易所,电力设备
300502,新易盛,深圳证券交易所,通信
300628,亿联网络,深圳证券交易所,通信
300558,贝达药业,深圳证券交易所,医药生物
155,川能动力,深圳证券交易所,公用事业
2271,东方雨虹,深圳证券交易所,建筑材料
688521,芯原股份,上海证券交易所,电子
688114,华大智造,上海证券交易所,医药生物
688009,中国通号,上海证券交易所,机械设备
601006,大秦铁路,上海证券交易所,交通运输
688615,合合信息,上海证券交易所,计算机
300442,润泽科技,深圳证券交易所,通信
601111,中国国航,上海证券交易所,交通运输
300498,温氏股份,深圳证券交易所,农林牧渔
603308,应流股份,上海证券交易所,机械设备
600519,贵州茅台,上海证券交易所,食品饮料
300012,华测检测,深圳证券交易所,社会服务
600482,中国动力,上海证券交易所,电力设备
2050,三花智控,深圳证券交易所,家用电器
601728,中国电信,上海证券交易所,通信
601668,中国建筑,上海证券交易所,建筑装饰
688297,中无人机,深圳证券交易所,国防军工
2027,分众传媒,深圳证券交易所,传媒
600377,宁沪高速,上海证券交易所,交通运输
600171,上海贝岭,上海证券交易所,电子
1280,中国铀业,深圳证券交易所,有色金属
2594,比亚迪,深圳证券交易所,汽车
603345,安井食品,上海证券交易所,食品饮料
2032,苏泊尔,深圳证券交易所,家用电器
603288,海天味业,上海证券交易所,食品饮料
2273,水晶光电,深圳证券交易所,电子
34,神州数码,深圳证券交易所,计算机
709,河钢股份,深圳证券交易所,钢铁
2409,雅克科技,深圳证券交易所,电子
596,古井贡酒,深圳证券交易所,食品饮料
2078,太阳纸业,深圳证券交易所,轻工制造
2410,广联达,深圳证券交易所,计算机
688472,阿特斯,上海证券交易所,电力设备
2444,巨星科技,深圳证券交易所,机械设备
603379,三美股份,上海证券交易所,基础化工
600926,杭州银行,上海证券交易所,银行
601966,玲珑轮胎,上海证券交易所,汽车
2318,久立特材,深圳证券交易所,钢铁
603392,万泰生物,上海证券交易所,医药生物
601106,中国一重,上海证券交易所,机械设备
600583,海油工程,上海证券交易所,石油石化
600893,航发动力,上海证券交易所,国防军工
400,许继电气,深圳证券交易所,电力设备
601118,海南橡胶,上海证券交易所,农林牧渔
963,华东医药,深圳证券交易所,医药生物
300548,长芯博创,深圳证券交易所,通信
938,紫光股份,深圳证券交易所,计算机
301165,锐捷网络,深圳证券交易所,通信
688278,特宝生物,上海证券交易所,医药生物
2926,华西证券,深圳证券交易所,非银金融
768,中航西飞,深圳证券交易所,国防军工
825,太钢不锈,深圳证券交易所,钢铁
2422,科伦药业,深圳证券交易所,医药生物
688322,奥比中光,上海证券交易所,电子
688047,龙芯中科,深圳证券交易所,电子
301358,湖南裕能,深圳证券交易所,电力设备
1979,招商蛇口,深圳证券交易所,房地产
600183,生益科技,上海证券交易所,电子
688072,拓荆科技,上海证券交易所,电子
603688,石英股份,上海证券交易所,基础化工
2261,拓维信息,深圳证券交易所,计算机
603986,兆易创新,上海证券交易所,电子
688506,百利天恒,上海证券交易所,医药生物
300251,光线传媒,深圳证券交易所,传媒
600871,石化油服,上海证券交易所,石油石化
600011,华能国际,上海证券交易所,公用事业
601919,中远海控,上海证券交易所,交通运输
997,新大陆,深圳证券交易所,计算机
600008,首创环保,上海证券交易所,环保
600390,五矿资本,上海证券交易所,非银金融
688220,翱捷科技,上海证券交易所,电子
2466,天齐锂业,深圳证券交易所,有色金属
601059,信达证券,上海证券交易所,非银金融
600089,特变电工,上海证券交易所,电力设备
688347,华虹宏力,上海证券交易所,电子
600329,达仁堂,上海证券交易所,医药生物
603939,益丰药房,上海证券交易所,医药生物
603175,超颖电子,上海证券交易所,电子
600435,北方导航,上海证券交易所,国防军工
2938,鹏鼎控股,深圳证券交易所,电子
2007,华兰生物,深圳证券交易所,医药生物
300433,蓝思科技,深圳证券交易所,电子
688772,珠海冠宇,上海证券交易所,电力设备
559,万向钱潮,深圳证券交易所,汽车
600848,上海临港,上海证券交易所,房地产
300604,长川科技,上海证券交易所,电子
600298,安琪酵母,上海证券交易所,食品饮料
600126,杭钢股份,上海证券交易所,钢铁
601818,光大银行,上海证券交易所,银行
9,中国宝安,深圳证券交易所,
601666,平煤股份,上海证券交易所,煤炭
300857,协创数据,深圳证券交易所,电子
603092,德力佳,上海证券交易所,电力设备
300285,国瓷材料,上海证券交易所,电子
688425,铁建重工,上海证券交易所,机械设备
688563,航材股份,上海证券交易所,国防军工
600516,方大炭素,上海证券交易所,钢铁
300620,光库科技,深圳证券交易所,通信
2179,中航光电,深圳证券交易所,国防军工
300676,华大基因,深圳证券交易所,医药生物
