date,ic
2020-05-07,0.00791427334629414
2020-05-14,0.029979388943309638
2020-05-21,-0.02050563447653544
2020-05-28,-0.03703739879713901
2020-06-04,-0.03944255263618255
2020-06-11,0.0037338690286696143
2020-06-18,0.059428155705218255
2020-06-29,-0.09192927661435502
2020-07-06,-0.13305640920569295
2020-07-13,0.09278645252793484
2020-07-20,-0.07176776342076792
2020-07-27,-0.10446219383441802
2020-08-03,0.03553549851006272
2020-08-10,-0.15297102606298765
2020-08-17,-0.2245986003067574
2020-08-24,-0.03557034621502415
2020-08-31,0.021210564667369942
2020-09-07,0.07802321203650739
2020-09-14,-0.14244420706860778
2020-09-21,-0.014542420057340655
2020-09-28,0.022158786900970805
2020-10-13,0.0334709277108282
2020-10-20,0.04587520122427589
2020-10-27,0.1205437809153226
2020-11-03,0.003800317850441451
2020-11-10,-0.00236183088333929
2020-11-17,0.071429614711029
2020-11-24,-0.25040901854774084
2020-12-01,-0.19843005019404167
2020-12-08,0.0011448844104550368
2020-12-15,0.18162601724851998
2020-12-22,0.10673177229718896
2020-12-29,0.15894547780850282
2021-01-06,0.05510359944240985
2021-01-13,-0.32649693983331035
2021-01-20,0.13462868446511472
2021-01-27,0.022477264607034187
2021-02-03,0.07490824244759393
2021-02-10,-0.2239643518717492
2021-02-24,-0.10139859169792773
2021-03-03,-0.042450623958669706
2021-03-10,0.12174180852861101
2021-03-17,-0.10790047615932115
2021-03-24,0.011197529581022532
2021-03-31,-0.16778861140612542
2021-04-08,-0.005799989481815394
2021-04-15,-0.14741600179256156
2021-04-22,-0.07140349942753531
2021-04-29,0.0755722992367209
2021-05-11,-0.02501200485201741
2021-05-18,-0.18522103419703578
2021-05-25,-0.01893460756219057
2021-06-01,-0.025589919272875686
2021-06-08,-0.10300613342525002
2021-06-16,0.11249386640276607
2021-06-23,-0.010067088836959077
2021-06-30,-0.02791403792980095
2021-07-07,0.05266451170472348
2021-07-14,0.21663371573088278
2021-07-21,-0.023859031168814108
2021-07-28,0.24638190502316362
2021-08-04,-0.00757189676895122
2021-08-11,-0.2610776670768985
2021-08-18,0.16009144788471658
2021-08-25,-0.007329550756052595
2021-09-01,-0.04851608367819552
2021-09-08,0.2338908551146767
2021-09-15,-0.06661772838537507
2021-09-24,-0.18506174852323198
2021-10-08,-0.36861617720351186
2021-10-15,0.0708087332228648
2021-10-22,0.051774246752764264
2021-10-29,-0.15499463961922902
2021-11-05,-0.11799985355034483
2021-11-12,-0.10731899124052165
2021-11-19,-0.12345918577589024
2021-11-26,-0.12698317265113612
2021-12-03,-0.15354054808084422
2021-12-10,0.010644104279751036
2021-12-17,0.1070165725962732
2021-12-24,-0.07853833460171435
2021-12-31,0.14202570326449296
2022-01-10,-0.0014967877175586066
2022-01-17,-0.025921494733055415
2022-01-24,-0.14211966428481504
2022-02-07,0.16317937179781647
2022-02-14,-0.11526037163561371
2022-02-21,-0.16107232008778555
2022-02-28,0.04961175519101132
2022-03-07,0.04652518129586595
2022-03-14,0.03554934480807506
2022-03-21,0.0008998157870957741
2022-03-28,0.12826500648279368
2022-04-06,0.08393184735800932
2022-04-13,-0.18456122777951117
2022-04-20,0.1403555989127702
2022-04-27,-0.13912392015619768
2022-05-09,-0.07631549987110108
2022-05-16,-0.20931977572311553
2022-05-23,-0.044705822442381554
2022-05-30,-0.01807991559736626
2022-06-07,0.023298666737811717
2022-06-14,-0.11169538071383829
2022-06-21,0.16835935823948003
2022-06-28,-0.19760495829973418
2022-07-05,-0.11279921679832138
2022-07-12,0.12737790587677245
2022-07-19,-0.1436896198844081
2022-07-26,0.25202107786517436
2022-08-02,-0.03332622522875272
2022-08-09,-0.11244372553606877
2022-08-16,-0.12043414059674708
2022-08-23,-0.4845732797899562
2022-08-30,-0.14991167153978657
2022-09-06,-0.11048669448415376
2022-09-14,-0.023451590589202063
2022-09-21,0.0935972487400066
2022-09-28,-0.08864004228149439
2022-10-12,-0.07947714418143889
2022-10-19,-0.0727931098781339
2022-10-26,-0.015095820791462631
2022-11-02,-0.1868205755427714
2022-11-09,0.022328700077524858
2022-11-16,-0.16265259607867785
2022-11-23,0.03933735897744372
2022-11-30,0.007914159364581022
2022-12-07,0.20633580457813713
2022-12-14,-0.038588179506469984
2022-12-21,-0.10530342176487402
2022-12-28,-0.08764736612982442
2023-01-05,-0.17550781542063296
2023-01-12,-0.12399801195096326
2023-01-19,-0.2662580453497933
2023-02-02,-0.11435077044699887
2023-02-09,0.03481546539092551
2023-02-16,-0.1796966582511305
2023-02-23,0.18064139422590772
2023-03-02,-0.06918704117295367
2023-03-09,0.15057752864719362
2023-03-16,0.16979302895580822
2023-03-23,-0.156048469708006
2023-03-30,0.29547957753589976
2023-04-07,-0.07274092704939135
2023-04-14,-0.040006684130968875
2023-04-21,-0.10759155580309375
2023-04-28,-0.07085101395113044
2023-05-10,-0.20937442058957748
2023-05-17,-0.3437826706575671
2023-05-24,0.24852222539771512
2023-05-31,-0.06429730625212299
2023-06-07,0.01597645454123802
2023-06-14,0.0063397646826789285
2023-06-21,-0.15976557290413856
2023-06-30,-0.20206812933174434
2023-07-07,-0.20134069822943562
2023-07-14,-0.17301741570165421
2023-07-21,-0.2160424036831103
2023-07-28,-0.039513214676110686
2023-08-04,-0.002051024414880216
2023-08-11,0.11722722308453996
2023-08-18,0.12233484035612882
2023-08-25,-0.25475145888179646
2023-09-01,-0.04484973268181602
2023-09-08,0.041309944556533175
2023-09-15,-0.11344855121812296
2023-09-22,0.048299056190699866
2023-10-09,0.15889413658545634
2023-10-16,-0.021732673390010483
2023-10-23,0.07580687819679392
2023-10-30,-0.1419219169019579
2023-11-06,-0.08631791567486453
2023-11-13,-0.034957870739928655
2023-11-20,-0.10719475860581347
2023-11-27,-0.02555648452452688
2023-12-04,-0.03628789427437338
2023-12-11,-0.020508115654115904
2023-12-18,-0.004154847927881655
2023-12-25,-0.004649135089149052
2024-01-02,0.09220538822199505
2024-01-09,0.09646908204856817
2024-01-16,0.07011209031141238
2024-01-23,-0.008473422779848151
2024-01-30,0.25694246468171233
2024-02-06,-0.27814101716284984
2024-02-21,-0.23078500159768986
2024-02-28,-0.17514561859924827
2024-03-06,-0.11876456108366851
2024-03-13,-0.030617170516402052
2024-03-20,-0.06751982722187898
2024-03-27,0.02068952773316867
2024-04-03,0.05095466326164186
2024-04-12,0.07890051134859319
2024-04-19,-0.40397165858106504
2024-04-26,0.02126692950170361
2024-05-08,0.22512661509379076
2024-05-15,-0.18855432636204533
2024-05-22,0.14806938833930405
2024-05-29,-0.15992797410792212
2024-06-05,0.0343031719039122
2024-06-13,0.029101692682285137
2024-06-20,-0.1125330901567368
2024-06-27,-0.062309861894757075
2024-07-04,0.10565989667847016
2024-07-11,0.06425772234472893
2024-07-18,-0.2734659428228872
2024-07-25,-0.204328188920163
2024-08-01,-0.1201036890995457
2024-08-08,-0.09349889907451187
2024-08-15,-0.08426837439090794
2024-08-22,-0.09411006259508589
2024-08-29,-0.008099253292252183
2024-09-05,-0.08119449532302075
2024-09-12,-0.029140641691421634
2024-09-23,0.05127207746571929
2024-09-30,-0.12787531715743602
2024-10-14,-0.019787985290237477
2024-10-21,-0.09517886907895115
2024-10-28,-0.0765495906504658
2024-11-04,0.3001507553939132
2024-11-11,-0.33865843733154644
2024-11-18,0.12460599590004527
2024-11-25,-0.000577395504991916
2024-12-02,0.036823731861265356
2024-12-09,-0.055153002923413165
2024-12-16,-0.26004344792521233
2024-12-23,-0.04008046169783741
2024-12-30,0.006890436538197712
2025-01-07,-0.0820426647618565
2025-01-14,0.11626068800595625
2025-01-21,-0.16481930121925406
2025-02-05,0.05555533177686101
2025-02-12,0.12613315824433347
2025-02-19,0.06701582233227596
2025-02-26,-0.1906058836367139
2025-03-05,0.03193585170124235
2025-03-12,-0.21227202708981552
2025-03-19,-0.09985485276053552
2025-03-26,-0.0956202941754436
2025-04-02,0.10083370304515274
2025-04-10,-0.1049831564942435
2025-04-17,-0.1022419086117627
2025-04-24,-0.28313792802412324
2025-05-06,-0.022119082231408377
2025-05-13,0.037435339895328726
2025-05-20,0.12074406409576117
2025-05-27,0.05173035361081355
2025-06-04,-0.17268874650759436
2025-06-11,-0.0607887600727359
2025-06-18,-0.2539244070278534
2025-06-25,0.05289194090067692
2025-07-02,0.001323098126321726
2025-07-09,-0.24048956060366491
2025-07-16,0.12263052461242985
