date,ic
2020-01-16,0.07359593824299288
2020-01-23,0.3098247199466609
2020-02-07,-0.11154082128267594
2020-02-14,0.1125440844747518
2020-02-21,-0.1699600555830556
2020-02-28,0.031223981143623156
2020-03-06,0.02787121727585269
2020-03-13,0.008107768767157738
2020-03-20,-0.14312954999622382
2020-03-27,-0.07426027014607985
2020-04-03,-0.018629532307454642
2020-04-13,-0.17980249170836196
2020-04-20,-0.03651267427618596
2020-04-27,0.0044900463270720085
2020-05-07,0.08643371448407643
2020-05-14,0.050784741389822925
2020-05-21,0.0033820412627420535
2020-05-28,-0.0728426244155503
2020-06-04,-0.05401767375414716
2020-06-11,-0.014975515622890585
2020-06-18,0.008968560725670026
2020-06-29,-0.2019644943968026
2020-07-06,-0.21673819670889685
2020-07-13,-0.12466782024936868
2020-07-20,-0.08221189655669876
2020-07-27,0.0717840295157955
2020-08-03,-0.006171616540918872
2020-08-10,-0.19136709641201277
2020-08-17,-0.13373578835185945
2020-08-24,0.010856576352511822
2020-08-31,0.06007662563025192
2020-09-07,-0.049406199322979065
2020-09-14,-0.10044468136759781
2020-09-21,-0.17951991182248797
2020-09-28,0.17709638425909788
2020-10-13,-0.013931093037329334
2020-10-20,-0.006622162110597861
2020-10-27,0.0836231998017909
2020-11-03,0.04471283136209202
2020-11-10,0.12187205989758859
2020-11-17,0.055907821839014056
2020-11-24,-0.06861113384398174
2020-12-01,-0.19630504125764842
2020-12-08,0.05331695411757728
2020-12-15,0.06137530703696309
2020-12-22,-0.01535327831386336
2020-12-29,0.2161436223508555
2021-01-06,0.0957409976342708
2021-01-13,-0.3106054193095935
2021-01-20,0.013098490847577688
2021-01-27,0.0573976159119302
2021-02-03,0.06324605346434807
2021-02-10,-0.33137253306388814
2021-02-24,0.040902159950866
2021-03-03,0.19938266817981767
2021-03-10,0.15456580682600798
2021-03-17,0.07814039149873123
2021-03-24,-0.1590761721435478
2021-03-31,-0.1633799364232423
2021-04-08,-0.0007161818928610456
2021-04-15,0.03793213358932646
2021-04-22,-0.011198511926603495
2021-04-29,0.008412887482016572
2021-05-11,-0.008243809011996471
2021-05-18,-0.1474093142530178
2021-05-25,-0.0009544598343221636
2021-06-01,0.03959528761118203
2021-06-08,-0.012213363304943634
2021-06-16,0.18623507976538564
2021-06-23,-0.03668696506458782
2021-06-30,-0.009533581988094907
2021-07-07,0.12806220004696697
2021-07-14,0.23424245861172838
2021-07-21,0.032701183147397096
2021-07-28,0.15367151445695104
2021-08-04,-0.051305904950415246
2021-08-11,-0.12151984064117871
2021-08-18,-0.0661112734131592
2021-08-25,0.20043388920964678
2021-09-01,0.0653832343510922
2021-09-08,0.2123522692459766
2021-09-15,-0.07656346361908235
2021-09-24,0.018569900509441965
2021-10-08,-0.10147267214641525
2021-10-15,-0.06422176654168983
2021-10-22,0.03144930666504664
2021-10-29,0.0547604261185339
2021-11-05,-0.008577911800379945
2021-11-12,-0.08679063146420792
2021-11-19,0.004623365864470131
2021-11-26,-0.07007640597318952
2021-12-03,-0.2676170164141568
2021-12-10,0.02407292491926528
2021-12-17,0.03381137919162018
2021-12-24,-0.09362680516983286
2021-12-31,0.0883375341591126
2022-01-10,-0.10357628613288976
2022-01-17,-0.0797991287194916
2022-01-24,-0.029722745298145753
2022-02-07,-0.019645588580859314
2022-02-14,-0.13873905609002823
2022-02-21,-0.13247321804265563
2022-02-28,-0.11055462646920951
2022-03-07,-0.03776013746236855
2022-03-14,0.013779626991481556
2022-03-21,0.08373578700151027
2022-03-28,0.014020485921256503
2022-04-06,0.2615279336712948
2022-04-13,-0.22999497010183173
2022-04-20,0.0988085613482919
2022-04-27,-0.12312839267879264
2022-05-09,-0.021766234904267504
2022-05-16,-0.037633070878499715
2022-05-23,-0.13079732329729377
