date,ic
2020-01-16,0.11271952554580618
2020-01-23,0.3110863726036367
2020-02-07,-0.31265995326817986
2020-02-14,0.119614277551262
2020-02-21,-0.24227393053790305
2020-02-28,-0.05956498526960249
2020-03-06,0.05129313838418906
2020-03-13,-0.07096885317429398
2020-03-20,-0.07792705014989659
2020-03-27,0.07497630831502067
2020-04-03,-0.05623109045153207
2020-04-13,-0.2104221209195322
2020-04-20,-0.009723449039781396
2020-04-27,-0.15090753570784862
2020-05-07,0.024634517402892797
2020-05-14,-0.00505125800040411
2020-05-21,0.11483067592504262
2020-05-28,-0.19851848215665438
2020-06-04,-0.05477512301284059
2020-06-11,-0.04642689851512346
2020-06-18,-0.03712894772471695
2020-06-29,-0.25587577396657063
2020-07-06,-0.20412815372970528
2020-07-13,-0.20911709193550668
2020-07-20,0.1276813991938762
2020-07-27,-0.12595436746884586
2020-08-03,-0.09921622693080534
2020-08-10,-0.03759286350393426
2020-08-17,-0.030275127714655334
2020-08-24,0.10219307102321716
2020-08-31,0.09341555800247404
2020-09-07,0.03947277973190602
2020-09-14,-0.14683035521356277
2020-09-21,-0.06427048442453047
2020-09-28,-0.22390752621636384
2020-10-13,0.007233363441770408
2020-10-20,0.08643414204513057
2020-10-27,0.10515364283252641
2020-11-03,0.05419175989360687
2020-11-10,0.16288928459165067
2020-11-17,0.08567966959089046
2020-11-24,-0.11785356733703092
2020-12-01,-0.16731065181618054
2020-12-08,0.13076999019779098
2020-12-15,0.16881802288158226
2020-12-22,0.08673551029806516
2020-12-29,0.04861605766414422
2021-01-06,0.18506423785277654
2021-01-13,-0.2663046587641618
2021-01-20,0.02872952249319901
2021-01-27,0.17066055865501434
2021-02-03,0.1359569028350018
2021-02-10,-0.4034331218607794
2021-02-24,0.12147306488565196
2021-03-03,0.1196148324171763
2021-03-10,0.06771262927412315
2021-03-17,-0.028489723093910006
2021-03-24,-0.30295801852017384
2021-03-31,-0.178154618205355
2021-04-08,0.03967458984259167
2021-04-15,0.005012118644273262
2021-04-22,0.0755114049402071
2021-04-29,0.004563919086408562
2021-05-11,-0.19167585429641312
2021-05-18,0.1302285575776028
2021-05-25,0.0032498485897045977
2021-06-01,0.06901521566466913
2021-06-08,0.07055655807619603
2021-06-16,-0.14059546989735963
2021-06-23,-0.03758211837276334
2021-06-30,0.017746195120342
2021-07-07,0.10050524115055967
2021-07-14,0.1610671783466737
2021-07-21,0.08685612981031772
2021-07-28,-0.07115743426763381
2021-08-04,-0.12142294018132598
2021-08-11,0.04988257050042208
2021-08-18,-0.178602689377149
2021-08-25,0.1366711575151011
2021-09-01,0.10162956727708754
2021-09-08,0.05896520997397595
2021-09-15,-0.17691057910978972
2021-09-24,0.17909649918148327
2021-10-08,0.009157063153877933
2021-10-15,-0.07985336528900325
2021-10-22,0.10484767417318491
2021-10-29,0.14731404815255875
2021-11-05,0.028399902175861233
2021-11-12,-0.10054789306957634
2021-11-19,0.07247438940943995
2021-11-26,-0.05867989939177091
2021-12-03,-0.18876879512365285
2021-12-10,-0.07365941119161738
2021-12-17,-0.028944766807065866
2021-12-24,-0.20358319213664033
2021-12-31,-0.0011008105341131437
2022-01-10,-0.16580711492223313
2022-01-17,-0.15869169239063813
2022-01-24,-0.035117695576328024
2022-02-07,0.09623558798882748
2022-02-14,-0.1823021807686615
2022-02-21,-0.011202221827818569
2022-02-28,-0.18580117910398508
2022-03-07,-0.03471365407077621
2022-03-14,-0.006494679594013737
2022-03-21,-0.0981585425692303
2022-03-28,0.2520053034940687
2022-04-06,0.36872596391204915
2022-04-13,-0.16353095791629615
2022-04-20,0.01513842567116818
2022-04-27,-0.09794820170012937
2022-05-09,-0.08193032415207431
2022-05-16,0.1372903804055363
2022-05-23,-0.10448782802483408
2022-05-30,-0.2209610423095206
2022-06-07,-0.02669997182987574
2022-06-14,-0.3435476761463668
2022-06-21,0.05704629742916368
2022-06-28,-0.19471106086178103
2022-07-05,-0.1944058706071798
2022-07-12,-0.22521076355005726
2022-07-19,-0.01846828217758361
2022-07-26,0.09249553904287616
2022-08-02,-0.14024673294979673
2022-08-09,-0.1649485839414555
2022-08-16,0.19791217257666607
2022-08-23,0.025036363482388718
2022-08-30,0.1877473305650156
2022-09-06,0.023690892438440265
2022-09-14,0.0009251654193366629
2022-09-21,0.031711981745736216
2022-09-28,-0.1100025049419623
2022-10-12,-0.001075815628538435
2022-10-19,0.348873693980303
2022-10-26,0.06158140801140935
2022-11-02,-0.1681007889080426
2022-11-09,-0.0629503053149592
2022-11-16,-0.10723981894376619
2022-11-23,-0.035819930383552114
2022-11-30,-0.10733901191258259
2022-12-07,0.19161230221859563
2022-12-14,-0.0829488383714562
2022-12-21,-0.030684806345657095
2022-12-28,-0.1196212972236111
2023-01-05,-0.07357167749343234
2023-01-12,-0.12360097434887916
2023-01-19,-0.16202274721303933
2023-02-02,0.19726351803348813
2023-02-09,0.018980543366842843
2023-02-16,-0.18606235106080124
2023-02-23,-0.0936345441867099
2023-03-02,0.09128266514410682
2023-03-09,0.2862819063881419
2023-03-16,-0.06822744917056951
2023-03-23,-0.1310739979720914
2023-03-30,-0.11196035308730769
2023-04-07,-0.09713083214786153
2023-04-14,0.08048829697566172
2023-04-21,0.15488509530700217
2023-04-28,0.18620624626015642
2023-05-10,-0.11359578397478107
2023-05-17,0.13138785668952874
2023-05-24,-0.11902885943677823
2023-05-31,-0.0789747010211234
2023-06-07,0.0642492533590651
2023-06-14,-0.10349349777846717
2023-06-21,0.011994173449427119
2023-06-30,0.00959196131567177
2023-07-07,-0.027115184641621874
2023-07-14,0.06664899581265692
2023-07-21,0.24624801360218218
2023-07-28,-0.04136225490231449
2023-08-04,-0.23398673103282655
2023-08-11,0.02116637228226985
2023-08-18,0.102201902085184
2023-08-25,-0.3370563956468561
2023-09-01,0.08399427805600763
2023-09-08,-0.16989346836151134
2023-09-15,-0.20495128478935512
2023-09-22,-0.037610710834741504
2023-10-09,0.08797955280363581
2023-10-16,-0.015670667435682826
