date,open,close,high,low,volume
2025-05-20,6097.36,6146.02,6154.95,6078.22,192957294.0
2025-05-21,6137.1,6132.18,6141.73,6109.92,196550842.0
2025-05-22,6113.21,6066.1,6146.2,6062.59,186395737.0
2025-05-23,6060.52,5989.68,6099.23,5989.68,184923774.0
2025-05-26,5991.86,6028.79,6038.81,5981.84,155988794.0
2025-05-27,6019.54,6008.46,6023.14,5971.35,157945758.0
2025-05-28,6006.89,5984.46,6023.82,5972.18,159105494.0
2025-05-29,5980.86,6089.58,6091.96,5980.86,189376466.0
2025-05-30,6075.45,6026.56,6075.45,6016.89,186918671.0
2025-06-03,6009.18,6070.04,6086.62,6008.54,191764672.0
2025-06-04,6067.83,6123.17,6124.7,6067.83,186955850.0
2025-06-05,6125.89,6167.01,6174.85,6101.85,206077919.0
2025-06-06,6164.41,6152.84,6169.57,6137.57,178339582.0
2025-06-09,6161.14,6218.96,6226.38,6158.9,193283632.0
2025-06-10,6220.04,6161.69,6220.04,6098.09,220060485.0
2025-06-11,6162.16,6186.51,6221.2,6162.16,197643580.0
2025-06-12,6171.56,6192.22,6202.73,6151.04,197018749.0
2025-06-13,6174.43,6106.01,6183.71,6088.57,236889547.0
2025-06-16,6089.96,6147.46,6151.51,6089.96,197310933.0
2025-06-17,6153.15,6141.47,6171.17,6120.57,208427280.0
2025-06-18,6126.18,6135.39,6143.21,6086.69,204105755.0
2025-06-19,6127.94,6048.22,6146.64,6028.72,212217336.0
2025-06-20,6039.99,5999.59,6061.84,5997.59,180857342.0
2025-06-23,5966.5,6078.22,6083.53,5965.66,193558490.0
2025-06-24,6082.74,6194.67,6194.67,6082.74,233453403.0
2025-06-25,6196.15,6276.16,6282.11,6194.15,247556325.0
2025-06-26,6272.44,6247.79,6310.54,6244.78,254246495.0
2025-06-27,6265.92,6276.94,6319.16,6257.59,248563352.0
2025-06-30,6297.08,6356.18,6358.03,6292.51,237322973.0
2025-07-01,6358.06,6373.77,6373.77,6308.06,243537330.0
2025-07-02,6358.87,6309.48,6358.87,6285.0,238580903.0
2025-07-03,6306.75,6342.64,6349.14,6295.23,213980765.0
2025-07-04,6338.56,6312.2,6375.07,6292.14,238133210.0
2025-07-07,6305.04,6327.14,6333.51,6303.86,210477361.0
2025-07-08,6321.55,6407.7,6408.11,6318.52,235125583.0
2025-07-09,6412.14,6390.47,6431.09,6375.08,236175589.0
2025-07-10,6385.21,6406.57,6427.74,6367.66,240183380.0
2025-07-11,6411.31,6461.1,6487.44,6388.4,282561283.0
2025-07-14,6465.51,6462.31,6474.93,6443.56,242057801.0
2025-07-15,6452.0,6442.83,6472.53,6381.56,269869411.0
2025-07-16,6440.52,6462.06,6487.83,6433.51,220230024.0
2025-07-17,6458.41,6535.67,6535.67,6451.15,227831646.0
2025-07-18,6546.36,6552.07,6563.82,6521.5,234461713.0
2025-07-21,6557.25,6612.26,6614.61,6555.04,276591552.0
2025-07-22,6607.83,6637.1,6642.24,6597.05,301659994.0
2025-07-23,6634.12,6607.22,6667.86,6594.48,294109275.0
2025-07-24,6602.17,6701.12,6701.12,6602.17,285418219.0
2025-07-25,6708.08,6706.61,6716.7,6674.54,264004798.0
2025-07-28,6713.82,6729.98,6736.08,6679.21,252742904.0
2025-07-29,6724.32,6773.88,6773.88,6684.16,259261236.0
2025-07-30,6758.33,6718.48,6770.88,6662.91,268179559.0
2025-07-31,6701.16,6661.19,6750.08,6639.12,270138677.0
2025-08-01,6665.64,6670.47,6702.68,6625.93,232484670.0
2025-08-04,6637.84,6739.69,6739.73,6631.12,213491525.0
2025-08-05,6753.53,6787.48,6787.48,6744.07,223724677.0
2025-08-06,6784.17,6861.31,6865.02,6774.03,258133888.0
2025-08-07,6864.45,6862.15,6876.5,6813.77,261389600.0
2025-08-08,6844.44,6838.13,6865.84,6816.09,251465671.0
2025-08-11,6850.57,6943.94,6957.4,6850.57,260970241.0
2025-08-12,6943.67,6963.61,6963.8,6894.85,260489869.0
2025-08-13,6966.27,7064.33,7070.5,6966.27,294653874.0
2025-08-14,7072.9,6976.49,7077.81,6957.4,317272936.0
2025-08-15,6956.51,7117.5,7117.51,6956.51,304005226.0
2025-08-18,7158.53,7237.6,7267.98,7143.07,379831263.0
2025-08-19,7231.93,7242.85,7289.03,7193.59,340879045.0
2025-08-20,7212.97,7305.46,7305.46,7166.99,324751503.0
2025-08-21,7318.76,7253.34,7343.17,7215.34,326822891.0
2025-08-22,7250.19,7362.94,7362.94,7250.19,326807492.0
2025-08-25,7418.35,7477.73,7504.01,7405.94,408457655.0
2025-08-26,7457.77,7476.47,7526.17,7435.3,363684661.0
2025-08-27,7488.93,7336.5,7565.35,7336.5,416759265.0
2025-08-28,7331.19,7447.11,7447.11,7216.77,381466435.0
2025-08-29,7449.86,7438.68,7477.2,7380.83,327640881.0
2025-09-01,7475.0,7501.15,7502.59,7424.34,324220712.0
2025-09-02,7498.44,7313.88,7499.6,7258.59,350435853.0
2025-09-03,7336.39,7206.88,7361.03,7182.29,290288568.0
2025-09-04,7214.72,7041.15,7255.0,6939.66,297622754.0
2025-09-05,7046.96,7245.67,7248.58,7017.95,282765931.0
2025-09-08,7257.33,7311.03,7321.16,7220.59,307813289.0
2025-09-09,7287.4,7226.03,7315.97,7198.32,282443061.0
2025-09-10,7214.23,7230.17,7296.0,7179.76,252674158.0
2025-09-11,7215.93,7399.89,7399.89,7161.28,293975142.0
2025-09-12,7402.42,7422.88,7472.87,7387.59,315838793.0
2025-09-15,7445.5,7415.57,7454.3,7404.5,301307761.0
2025-09-16,7426.41,7483.63,7487.07,7364.73,309010590.0
2025-09-17,7478.41,7554.81,7564.82,7461.41,301706485.0
2025-09-18,7552.23,7476.4,7665.97,7393.18,398600102.0
2025-09-19,7473.02,7438.19,7520.92,7405.29,295895870.0
2025-09-22,7457.89,7489.48,7489.48,7418.46,270362602.0
2025-09-23,7500.62,7408.07,7504.23,7261.67,313260280.0
2025-09-24,7375.91,7534.22,7534.22,7342.47,278912761.0
2025-09-25,7521.32,7506.51,7563.08,7487.12,264403712.0
2025-09-26,7476.94,7397.59,7516.11,7396.58,258750259.0
2025-09-29,7415.13,7497.83,7517.12,7376.91,258680184.0
2025-09-30,7525.62,7574.96,7592.91,7524.92,255173785.0
2025-10-09,7623.3,7648.05,7671.17,7590.47,303491380.0
2025-10-10,7608.29,7533.82,7621.98,7513.17,290429922.0
2025-10-13,7250.58,7519.76,7535.21,7250.58,288400411.0
2025-10-14,7580.39,7373.15,7611.83,7342.6,304412013.0
2025-10-15,7384.01,7483.45,7484.05,7315.48,244853965.0
2025-10-16,7460.76,7401.84,7472.75,7378.3,234643070.0
2025-10-17,7395.87,7185.48,7426.21,7176.96,254327325.0
2025-10-20,7259.49,7239.18,7301.99,7196.28,218579676.0
2025-10-21,7257.11,7344.05,7350.92,7236.63,237250165.0
2025-10-22,7304.96,7312.21,7349.8,7278.71,227324503.0
2025-10-23,7292.39,7308.1,7319.55,7192.42,231568976.0
2025-10-24,7340.67,7419.24,7419.41,7340.67,245559953.0
2025-10-27,7483.3,7495.38,7511.41,7430.62,265344749.0
2025-10-28,7462.91,7479.22,7534.05,7443.7,251804249.0
2025-10-29,7481.24,7569.12,7569.12,7469.07,265846129.0
2025-10-30,7560.6,7485.08,7569.16,7476.7,297385269.0
2025-10-31,7480.66,7506.67,7583.03,7480.66,299745206.0
2025-11-03,7507.37,7538.12,7539.33,7417.27,278241705.0
2025-11-04,7523.64,7435.73,7523.64,7387.38,251677413.0
2025-11-05,7332.1,7464.86,7490.9,7332.1,258548178.0
2025-11-06,7482.91,7551.83,7551.83,7466.75,263612959.0
2025-11-07,7519.75,7541.88,7581.56,7492.93,267888664.0
2025-11-10,7568.75,7563.25,7592.76,7515.68,274361317.0
2025-11-11,7579.91,7540.79,7598.99,7530.14,265250731.0
2025-11-12,7520.18,7486.38,7537.76,7421.46,266963363.0
2025-11-13,7483.66,7590.58,7604.89,7475.51,275636073.0
2025-11-14,7527.83,7502.76,7591.32,7502.76,271972783.0
2025-11-17,7514.84,7523.08,7544.72,7487.81,261156118.0
2025-11-18,7508.53,7448.1,7521.66,7412.28,277480409.0
2025-11-19,7438.14,7387.21,7471.73,7348.04,238393820.0
2025-11-20,7429.7,7340.41,7439.04,7332.32,227536090.0
2025-11-21,7235.33,7067.7,7274.33,7067.7,284800690.0
2025-11-24,7105.64,7156.41,7190.72,7064.6,240655062.0
2025-11-25,7195.1,7249.95,7311.73,7194.77,245429429.0
2025-11-26,7236.66,7248.45,7307.2,7225.09,231776824.0
2025-11-27,7243.71,7257.45,7330.6,7243.71,211277412.0
2025-11-28,7257.17,7334.21,7334.21,7239.85,200680508.0
2025-12-01,7356.51,7386.68,7388.62,7342.6,234411583.0
2025-12-02,7364.2,7313.18,7364.2,7299.27,200512477.0
2025-12-03,7312.67,7248.27,7324.21,7220.98,214633400.0
2025-12-04,7246.86,7248.66,7269.9,7185.91,194839254.0
2025-12-05,7244.28,7342.49,7347.0,7194.66,215727663.0
2025-12-08,7359.49,7423.05,7446.19,7359.49,240918995.0
2025-12-09,7400.93,7380.58,7439.55,7370.3,228491428.0
2025-12-10,7367.49,7408.24,7421.42,7332.05,215611134.0
2025-12-11,7421.79,7312.0,7425.44,7312.0,234020873.0
2025-12-12,7312.87,7370.94,7384.85,7284.56,243525183.0
2025-12-15,7324.48,7309.08,7375.61,7305.83,220957697.0
2025-12-16,7302.16,7181.62,7302.16,7143.61,230526007.0
2025-12-17,7178.31,7288.74,7303.38,7149.02,220498775.0
2025-12-18,7244.64,7272.4,7336.73,7241.86,200044662.0
2025-12-19,7295.67,7329.81,7357.04,7279.99,219205547.0
2025-12-22,7363.06,7408.35,7433.43,7363.06,221601886.0
2025-12-23,7410.22,7392.42,7441.41,7363.93,224288566.0
2025-12-24,7391.56,7506.38,7513.25,7386.49,217961455.0
2025-12-25,7507.3,7579.38,7591.78,7502.15,228744917.0
2025-12-26,7575.93,7605.53,7644.84,7550.01,266261611.0
2025-12-29,7606.44,7594.16,7637.91,7574.77,264064796.0
2025-12-30,7556.54,7597.3,7636.15,7552.4,263331874.0
2025-12-31,7606.65,7595.28,7619.22,7560.72,244549231.0
2026-01-05,7639.54,7753.88,7753.96,7623.75,305374726.0
2026-01-06,7756.16,7864.9,7864.9,7755.07,331162034.0
2026-01-07,7881.84,7906.42,7939.75,7864.14,318734367.0
2026-01-08,7886.81,7971.59,7993.63,7886.63,325563908.0
2026-01-09,7969.19,8129.18,8131.49,7969.19,381043869.0
2026-01-12,8196.08,8357.01,8371.75,8171.11,447228954.0
2026-01-13,8381.04,8203.13,8381.04,8177.63,454444503.0
2026-01-14,8204.28,8257.17,8415.1,8154.24,489798359.0
2026-01-15,8197.06,8240.78,8267.81,8151.11,353357708.0
2026-01-16,8276.61,8232.73,8304.4,8180.12,352539405.0
2026-01-19,8204.63,8265.65,8298.48,8187.94,326691149.0
2026-01-20,8271.78,8182.75,8300.05,8104.92,336689134.0
2026-01-21,8138.68,8247.68,8289.13,8136.92,325676368.0
2026-01-22,8272.47,8309.35,8314.22,8252.74,328563281.0
2026-01-23,8331.77,8470.74,8478.56,8323.35,393043020.0
2026-01-26,8513.22,8365.43,8530.42,8302.1,403428375.0
