date,open,close,high,low,volume
2025-05-20,5723.51,5747.37,5759.46,5707.81,116896615.0
2025-05-21,5741.69,5757.92,5763.08,5733.83,115804542.0
2025-05-22,5739.19,5703.28,5757.79,5701.16,109057720.0
2025-05-23,5697.14,5653.04,5738.08,5653.04,114361198.0
2025-05-26,5653.21,5669.46,5693.63,5644.58,97170989.0
2025-05-27,5666.3,5652.15,5667.87,5629.13,95149363.0
2025-05-28,5651.88,5637.24,5660.47,5628.42,94908883.0
2025-05-29,5637.06,5719.91,5724.52,5637.06,114682484.0
2025-05-30,5704.77,5671.07,5704.77,5665.52,109900707.0
2025-06-03,5653.67,5694.84,5710.42,5653.3,122853903.0
2025-06-04,5696.57,5739.01,5744.45,5696.57,116196077.0
2025-06-05,5741.03,5769.97,5778.1,5719.55,125223584.0
2025-06-06,5768.4,5762.08,5771.76,5750.66,108217660.0
2025-06-09,5772.78,5805.65,5823.9,5765.35,128188619.0
2025-06-10,5809.83,5757.99,5810.92,5715.97,138269181.0
2025-06-11,5758.53,5792.95,5818.57,5758.53,123716707.0
2025-06-12,5780.97,5799.93,5808.8,5766.52,125615846.0
2025-06-13,5783.16,5740.24,5794.67,5728.21,167613374.0
2025-06-16,5725.0,5767.81,5775.95,5725.0,128242658.0
2025-06-17,5772.3,5750.91,5776.63,5734.83,121526624.0
2025-06-18,5740.16,5745.87,5753.71,5709.8,112703844.0
2025-06-19,5733.81,5676.83,5750.46,5660.05,125531134.0
2025-06-20,5669.09,5639.51,5688.74,5636.78,101794766.0
2025-06-23,5613.28,5674.17,5684.4,5613.28,111601802.0
2025-06-24,5683.46,5765.84,5766.02,5683.46,142082256.0
2025-06-25,5777.74,5862.55,5866.52,5776.12,184632310.0
2025-06-26,5868.29,5838.25,5885.25,5835.34,180164163.0
2025-06-27,5850.43,5863.73,5905.7,5839.58,199389725.0
2025-06-30,5877.67,5915.39,5918.31,5872.23,166275147.0
2025-07-01,5915.8,5934.67,5936.92,5890.11,154192365.0
2025-07-02,5922.54,5892.95,5922.54,5873.89,162500485.0
2025-07-03,5896.24,5922.66,5929.73,5885.94,130070046.0
2025-07-04,5917.75,5911.44,5969.3,5889.73,164941060.0
2025-07-07,5901.4,5900.41,5910.8,5889.6,137207362.0
2025-07-08,5903.1,5977.74,5979.63,5903.1,168681142.0
2025-07-09,5980.65,5953.49,5992.13,5940.18,164914402.0
2025-07-10,5950.97,5983.05,6000.69,5942.29,176242607.0
2025-07-11,5985.82,6027.08,6057.62,5963.26,222363098.0
2025-07-14,6033.18,6020.86,6042.89,6011.69,189277444.0
2025-07-15,6018.63,6018.76,6049.79,5973.8,189736234.0
2025-07-16,6019.58,6017.19,6061.2,5997.16,148610062.0
2025-07-17,6013.71,6082.46,6082.46,6013.04,149692658.0
2025-07-18,6092.23,6099.61,6112.11,6073.64,153152204.0
2025-07-21,6115.03,6161.31,6162.44,6110.99,207350507.0
2025-07-22,6166.62,6213.41,6215.41,6152.81,246211642.0
2025-07-23,6218.21,6196.76,6256.15,6187.01,258377896.0
2025-07-24,6197.85,6293.6,6293.6,6197.85,268355564.0
2025-07-25,6297.63,6299.59,6311.17,6276.42,237055328.0
2025-07-28,6305.22,6323.42,6329.03,6271.93,214448267.0
2025-07-29,6308.12,6356.13,6356.15,6272.31,201757629.0
2025-07-30,6345.37,6314.69,6368.27,6269.51,212128411.0
2025-07-31,6297.91,6226.34,6322.07,6206.19,224214237.0
2025-08-01,6221.05,6213.2,6253.66,6177.48,165907191.0
2025-08-04,6190.34,6261.73,6261.96,6187.62,148591480.0
2025-08-05,6277.01,6303.24,6303.24,6272.51,154206665.0
2025-08-06,6298.93,6357.38,6357.59,6293.22,166027638.0
2025-08-07,6356.33,6337.54,6366.21,6299.49,170446400.0
2025-08-08,6324.17,6323.5,6351.33,6308.15,172507526.0
2025-08-11,6335.43,6391.76,6404.83,6335.43,174909199.0
2025-08-12,6392.4,6418.16,6418.16,6360.11,168351918.0
2025-08-13,6422.79,6508.1,6514.46,6422.21,216022423.0
2025-08-14,6509.21,6429.85,6519.79,6411.92,228953168.0
2025-08-15,6417.39,6568.57,6570.5,6417.39,245217240.0
2025-08-18,6612.99,6668.17,6709.78,6580.44,302448229.0
2025-08-19,6663.16,6655.31,6707.11,6631.12,252839276.0
2025-08-20,6623.61,6728.07,6728.07,6598.55,244233907.0
2025-08-21,6739.69,6704.17,6767.32,6673.06,242540164.0
2025-08-22,6704.03,6822.85,6823.36,6704.03,256783820.0
2025-08-25,6886.27,6951.9,6967.8,6863.93,333828945.0
2025-08-26,6928.29,6964.07,7008.96,6910.41,281532382.0
2025-08-27,6964.77,6862.56,7074.63,6862.56,328060183.0
2025-08-28,6858.5,7011.16,7011.16,6798.93,308061786.0
2025-08-29,7030.27,7043.94,7078.92,6990.75,280915814.0
2025-09-01,7087.73,7110.29,7110.69,7038.34,285908311.0
2025-09-02,7108.94,6961.69,7108.94,6909.72,294036539.0
2025-09-03,6988.02,6868.46,7003.27,6846.18,259083266.0
2025-09-04,6884.36,6698.45,6906.69,6607.98,270341894.0
2025-09-05,6709.15,6913.95,6919.34,6678.6,240857457.0
2025-09-08,6927.41,6992.12,6995.72,6896.66,244174304.0
2025-09-09,6959.94,6928.97,6999.73,6895.51,225843557.0
2025-09-10,6911.11,6932.11,6977.77,6870.4,189922867.0
2025-09-11,6924.3,7122.71,7123.05,6889.59,243951061.0
2025-09-12,7115.61,7147.75,7200.16,7112.42,266567508.0
2025-09-15,7170.41,7137.36,7174.89,7126.83,238265724.0
2025-09-16,7152.19,7190.99,7195.42,7080.43,242349183.0
2025-09-17,7184.26,7260.04,7265.39,7159.67,258264449.0
2025-09-18,7248.28,7199.88,7350.98,7115.63,348589541.0
2025-09-19,7200.69,7170.35,7232.0,7142.06,271507193.0
2025-09-22,7182.89,7225.13,7225.86,7143.08,231858069.0
2025-09-23,7240.85,7180.71,7250.82,7045.56,281283634.0
2025-09-24,7140.31,7323.71,7327.02,7133.43,240064938.0
2025-09-25,7325.66,7341.32,7379.61,7312.35,236175030.0
2025-09-26,7311.84,7240.91,7351.79,7237.05,211444148.0
2025-09-29,7251.52,7350.56,7377.22,7216.74,233539418.0
2025-09-30,7372.52,7412.37,7428.03,7372.06,220707502.0
2025-10-09,7470.05,7548.92,7559.09,7437.32,283130784.0
2025-10-10,7499.39,7398.22,7509.12,7373.98,262256646.0
2025-10-13,7135.1,7376.56,7391.82,7135.1,258027817.0
2025-10-14,7434.11,7194.85,7459.02,7166.08,277358873.0
2025-10-15,7205.74,7294.0,7294.0,7153.42,217559777.0
2025-10-16,7269.26,7231.53,7305.95,7206.44,194936370.0
2025-10-17,7226.42,7016.07,7254.58,7009.89,200044113.0
2025-10-20,7092.88,7069.64,7129.99,7033.38,176834192.0
2025-10-21,7095.62,7185.62,7193.73,7082.3,205973829.0
2025-10-22,7135.21,7128.48,7166.56,7101.83,169743254.0
2025-10-23,7108.85,7142.95,7153.66,7022.29,188933732.0
2025-10-24,7175.92,7258.53,7258.53,7174.35,195323933.0
2025-10-27,7336.2,7379.39,7391.21,7302.02,232051821.0
2025-10-28,7344.45,7341.03,7404.76,7308.27,202118463.0
2025-10-29,7350.76,7480.97,7480.97,7350.76,223844133.0
2025-10-30,7462.43,7385.71,7463.65,7375.24,243412036.0
2025-10-31,7385.74,7331.0,7430.86,7331.0,232041676.0
2025-11-03,7327.12,7333.6,7336.51,7214.83,221687060.0
2025-11-04,7315.19,7210.83,7323.7,7167.35,193325842.0
2025-11-05,7098.96,7229.34,7257.84,7098.96,195580243.0
2025-11-06,7243.2,7345.72,7352.18,7243.2,201722967.0
2025-11-07,7307.3,7327.91,7371.44,7285.82,192920578.0
