strategy,annual_return,sharpe,max_dd,calmar,sortino,win_rate,trades,stop_loss,cost,final_value
v6b_8f_pos_ic,25.11%,1.4044,18.17%,1.3816,1.6497,45.49%,5098,4,21647409.58,640221.69
v6b_hlr,25.15%,1.4083,18.12%,1.3882,1.6528,45.57%,5105,4,21710724.58,641459.15
