Date,Open,High,Low,Close,Volume
2020-01-02 00:00:00-05:00,206.39458905704603,208.08888244628906,205.99027304980757,208.08888244628906,30969400
2020-01-03 00:00:00-05:00,205.3356379037904,207.4246109553394,205.31638056676368,206.18276977539062,27518900
2020-01-06 00:00:00-05:00,204.56554993508857,207.54017017112625,204.31526325616625,207.51129150390625,21655300
2020-01-07 00:00:00-05:00,207.58826942270514,208.06960004320752,206.82777350549108,207.4823760986328,22139300
2020-01-08 00:00:00-05:00,207.45353046860188,209.99495596195464,207.12622911991602,209.0419158935547,26397300
2020-01-09 00:00:00-05:00,210.7650811571285,211.21753317284433,209.58101179361842,210.81321716308594,23547000
2020-01-10 00:00:00-05:00,211.64108555426068,211.66032820349986,209.8986563211332,210.2740936279297,21898500
2020-01-13 00:00:00-05:00,211.14050559485497,212.72889087103113,210.8035682627954,212.70001220703125,22756900
2020-01-14 00:00:00-05:00,212.59413567141934,212.95033037063425,211.53521696666027,211.86251831054688,24418100
2020-01-15 00:00:00-05:00,211.97800585985289,212.94066711688131,211.25600991708154,211.94912719726562,25742100
2020-01-16 00:00:00-05:00,213.0080640815941,214.0188613564895,212.55561210796517,213.9803466796875,18805000
2020-01-17 00:00:00-05:00,214.94304987767654,215.21259391168377,213.82635905733343,215.03932189941406,24325200
2020-01-21 00:00:00-05:00,214.44243566990113,215.48211168395406,214.34617834894308,214.94302368164062,21146300
2020-01-22 00:00:00-05:00,216.03084696557093,216.7432069961825,215.24145757170203,215.51100158691406,20736400
2020-01-23 00:00:00-05:00,215.3858482568453,216.30037356977513,214.38467226174947,216.2041015625,26496100
2020-01-24 00:00:00-05:00,217.21494709781263,217.4459911531301,213.39317964760033,214.3847198486328,37436500
2020-01-27 00:00:00-05:00,209.54246892973623,211.09235410320696,209.07075963727306,209.9564208984375,42264400
2020-01-28 00:00:00-05:00,211.43890576550353,213.67228680431208,210.88056050580138,213.1813201904297,26731900
2020-01-29 00:00:00-05:00,214.36544962326587,214.60611499136584,212.58453471275507,213.52793884277344,28924500
2020-01-30 00:00:00-05:00,212.15129715965054,214.38466368644922,211.48705852754097,214.2884063720703,39568100
